127.0.0.1 - - [16/Mar/2021:09:29:41 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:29:44 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 200 40732
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:29:44 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:29:44 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 200 268381
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:29:44 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:29:44 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:04 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:04 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:04 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:04 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:17 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:17 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:20 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:37:20 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:43:48 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:43:48 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:43:48 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:43:48 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:43:55 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:43:55 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:44:36 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:44:36 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:44:37 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:45:21 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:45:21 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:45:21 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:45:21 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:46:08 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:46:08 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:48:20 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:48:20 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:48:20 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:48:20 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:51:16 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:51:16 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:51:16 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:09:51:16 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:08:50 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:08:51 +0900] "GET /jQuery/chap03/carol.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:08:51 +0900] "GET /jQuery/chap03/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:08:51 +0900] "GET /jQuery/chap03/carol.js HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [16/Mar/2021:10:10:27 +0900] "GET /jQuery/chap03/index.html HTTP/1.1" 304 -
